DATE,CPMNACSCAB1GQFR
1980-01-01,108699.0
1980-04-01,111636.0
1980-07-01,114481.0
1980-10-01,116893.0
1981-01-01,120745.0
1981-04-01,124742.0
1981-07-01,129427.0
1981-10-01,134801.0
1982-01-01,140611.0
1982-04-01,145401.0
1982-07-01,148198.0
1982-10-01,151466.0
1983-01-01,156157.0
1983-04-01,160429.0
1983-07-01,164957.0
1983-10-01,168319.0
1984-01-01,172241.0
1984-04-01,175482.0
1984-07-01,178764.0
1984-10-01,180773.0
1985-01-01,183880.0
1985-04-01,188211.0
1985-07-01,191709.0
1985-10-01,194450.0
1986-01-01,198378.0
1986-04-01,202614.0
1986-07-01,206133.0
1986-10-01,207713.0
1987-01-01,208593.0
1987-04-01,212129.0
1987-07-01,215472.0
1987-10-01,219991.0
1988-01-01,224344.0
1988-04-01,228119.0
1988-07-01,233430.0
1988-10-01,238219.0
1989-01-01,243032.0
1989-04-01,246408.0
1989-07-01,251414.0
1989-10-01,256481.0
1990-01-01,260002.0
1990-04-01,263362.0
1990-07-01,264574.0
1990-10-01,266294.0
1991-01-01,268403.0
1991-04-01,272093.0
1991-07-01,274476.0
1991-10-01,277228.0
1992-01-01,281669.0
1992-04-01,282219.0
1992-07-01,283312.0
1992-10-01,283138.0
1993-01-01,283731.0
1993-04-01,285027.0
1993-07-01,286045.0
1993-10-01,287275.0
1994-01-01,289607.0
1994-04-01,293654.0
1994-07-01,296070.0
1994-10-01,299721.0
1995-01-01,301624.0
1995-04-01,304013.0
1995-07-01,305619.0
1995-10-01,307280.0
1996-01-01,310798.0
1996-04-01,312229.0
1996-07-01,314322.0
1996-10-01,315015.0
1997-01-01,316907.0
1997-04-01,321611.0
1997-07-01,324836.0
1997-10-01,329544.0
1998-01-01,333724.0
1998-04-01,337490.0
1998-07-01,339435.0
1998-10-01,341797.0
1999-01-01,344149.0
1999-04-01,347423.0
1999-07-01,351724.0
1999-10-01,356609.0
2000-01-01,362575.0
2000-04-01,367622.0
2000-07-01,372096.0
2000-10-01,376997.0
2001-01-01,380683.0
2001-04-01,383400.0
2001-07-01,386468.0
2001-10-01,388775.0
2002-01-01,392415.0
2002-04-01,395679.0
2002-07-01,398999.0
2002-10-01,401453.0
2003-01-01,403222.0
2003-04-01,404654.0
2003-07-01,409601.0
2003-10-01,414347.0
2004-01-01,419690.0
2004-04-01,423513.0
2004-07-01,426314.0
2004-10-01,431951.0
2005-01-01,435089.0
2005-04-01,438518.0
2005-07-01,441954.0
2005-10-01,448511.0
2006-01-01,453901.0
2006-04-01,460741.0
2006-07-01,463913.0
2006-10-01,470924.0
2007-01-01,476954.0
2007-04-01,483490.0
2007-07-01,488774.0
2007-10-01,493278.0
2008-01-01,499117.0
2008-04-01,499723.0
2008-07-01,498748.0
2008-10-01,493330.0
2009-01-01,484541.0
2009-04-01,482334.0
2009-07-01,482337.0
2009-10-01,487712.0
2010-01-01,491430.0
2010-04-01,495901.0
2010-07-01,501004.0
2010-10-01,505303.0
2011-01-01,511404.0
2011-04-01,512879.0
2011-07-01,515197.0
2011-10-01,518108.0
2012-01-01,520340.0
2012-04-01,521321.0
2012-07-01,523568.0
2012-10-01,523974.0
2013-01-01,525533.0
2013-04-01,529901.0
2013-07-01,530012.0
2013-10-01,532506.0
2014-01-01,534929.0
2014-04-01,535886.0
2014-07-01,538852.0
2014-10-01,541515.0
2015-01-01,546493.0
2015-04-01,547097.0
2015-07-01,551239.0
2015-10-01,553556.0
2016-01-01,558250.0
2016-04-01,555963.0
2016-07-01,557512.0
2016-10-01,561126.0
2017-01-01,567434.0
2017-04-01,572188.0
2017-07-01,576218.0
2017-10-01,580671.0
2018-01-01,584175.0
2018-04-01,586061.0
2018-07-01,589761.0
2018-10-01,594473.0
2019-01-01,599741.0
2019-04-01,603961.0
2019-07-01,607191.0
